X3_ARQUIVO;X3_ORDEM;X3_CAMPO;X3_TIPO;X3_TAMANHO;X3_DECIMAL;X3_TITULO;X3_TITSPA;X3_TITENG;X3_DESCRIC;X3_DESCSPA;X3_DESCENG;X3_PICTURE;X3_VALID;X3_USADO;X3_RELACAO;X3_F3;X3_NIVEL;X3_RESERV;X3_CHECK;X3_TRIGGER;X3_PROPRI;X3_BROWSE;X3_VISUAL;X3_CONTEXT;X3_OBRIGAT;X3_VLDUSER;X3_CBOX;X3_CBOXSPA;X3_CBOXENG;X3_PICTVAR;X3_WHEN;X3_INIBRW;X3_GRPSXG;X3_FOLDER;X3_PYME;X3_CONDSQL;X3_CHKSQL;X3_IDXSRV;X3_ORTOGRA;X3_IDXFLD;X3_TELA;X3_PICBRV;X3_AGRUP;X3_POSLGT;X3_MODAL;D_E_L_E_T_;R_E_C_N_O_;R_E_C_D_E_L_
Z01;1;Z01_FILIAL;C;2;0;Filial      ;Sucursal    ;Branch      ;Filial do Sistema        ;Sucursal                 ;Branch of the System     ;@!                                           ;                                                                                                                                ;x       x       x       x       x       x       x       x       x       x       x       x       x       x       x       ;                                                                                                                                ;      ;1;XXXXXX X        ; ; ;U;N; ; ;        ;                                                                                                                                ;                                                                                                                                ;                                                                                                                                ;                                                                                                                                ;                    ;                                                            ;                                                                                ;33; ; ;                                                                                                                                                                                                                                                          ;                                                                                                                                                                                                                                                          ; ; ; ;               ;                                                  ;   ; ; ; ;150418;0
Z01;2;Z01_NUM   ;C;6;0;Nº Demanda  ;Nº Demanda  ;Nº Demanda  ;Nº Demanda               ;Nº Demanda               ;Nº Demanda               ;                                             ;                                                                                                                                ;x       x       x       x       x       x       x       x       x       x       x       x       x       x       x x     ;                                                                                                                                ;      ;0;xxxxxx x        ; ; ;U;S;V;R;        ;                                                                                                                                ;                                                                                                                                ;                                                                                                                                ;                                                                                                                                ;                    ;                                                            ;                                                                                ;   ; ; ;                                                                                                                                                                                                                                                          ;                                                                                                                                                                                                                                                          ; ;N;N;               ;                                                  ;   ; ; ; ;150419;0
Z01;3;Z01_STATUS;C;1;0;Status      ;Status      ;Status      ;Status                   ;Status                   ;Status                   ;                                             ;                                                                                                                                ;x       x       x       x       x       x       x       x       x       x       x       x       x       x       x x     ;1                                                                                                                             ;      ;0;xxxxxx x        ; ; ;U;N;A;R;x       ;                                                                                                                                ;"0=Inativo;1=Ativo                                                                                                               ";"0=Inativo;1=Ativo                                                                                                               ";"0=Inativo;1=Ativo                                                                                                               ";                    ;                                                            ;                                                                                ;   ; ; ;                                                                                                                                                                                                                                                          ;                                                                                                                                                                                                                                                          ; ;N;N;               ;                                                  ;   ; ; ; ;150426;0
Z01;4;Z01_TITULO;C;30;0;Título      ;Título      ;Título      ;Título                   ;Título                   ;Título                   ;                                             ;                                                                                                                                ;x       x       x       x       x       x       x       x       x       x       x       x       x       x       x x     ;                                                                                                                                ;      ;0;xxxxxx x        ; ; ;U;S;A;R;x       ;                                                                                                                                ;                                                                                                                                ;                                                                                                                                ;                                                                                                                                ;                    ;                                                            ;                                                                                ;   ; ; ;                                                                                                                                                                                                                                                          ;                                                                                                                                                                                                                                                          ; ;N;N;               ;                                                  ;   ; ; ; ;150420;0
Z01;5;Z01_RESP  ;C;6;0;Responsável ;Responsável ;Responsável ;Responsável              ;Responsável              ;Responsável              ;                                             ;                                                                                                                                ;x       x       x       x       x       x       x       x       x       x       x       x       x       x       x x     ;IIF(INCLUI, __CUSERID, '')                                                                                                      ;USR   ;0;xxxxxx x        ; ;S;U;S;A;R;        ;                                                                                                                                ;                                                                                                                                ;                                                                                                                                ;                                                                                                                                ;                    ;                                                            ;                                                                                ;   ; ; ;                                                                                                                                                                                                                                                          ;                                                                                                                                                                                                                                                          ; ;N;N;               ;                                                  ;   ; ; ; ;150425;0
Z01;6;Z01_NOMRES;C;50;0;Nome Respons;Nome Respons;Nome Respons;Nome Responsável         ;Nome Responsável         ;Nome Responsável         ;                                             ;                                                                                                                                ;x       x       x       x       x       x       x       x       x       x       x       x       x       x       x x     ;USRFULLNAME(M->Z01_RESP)                                                                                                        ;      ;0;xxxxxx x        ; ; ;U;S;V;V;        ;                                                                                                                                ;                                                                                                                                ;                                                                                                                                ;                                                                                                                                ;                    ;                                                            ;UsrFullName(Z01->Z01_RESP)                                                      ;   ; ; ;                                                                                                                                                                                                                                                          ;                                                                                                                                                                                                                                                          ; ;N;N;               ;                                                  ;   ; ; ; ;150427;0
Z01;7;Z01_REQUE ;C;6;0;Requerente  ;Requerente  ;Requerente  ;Requerente               ;Requerente               ;Requerente               ;                                             ;                                                                                                                                ;x       x       x       x       x       x       x       x       x       x       x       x       x       x       x x     ;                                                                                                                                ;USR   ;0;xxxxxx x        ; ;S;U;S;A;R;        ;                                                                                                                                ;                                                                                                                                ;                                                                                                                                ;                                                                                                                                ;                    ;                                                            ;                                                                                ;   ; ; ;                                                                                                                                                                                                                                                          ;                                                                                                                                                                                                                                                          ; ;N;N;               ;                                                  ;   ; ; ; ;150428;0
Z01;8;Z01_NOMREQ;C;50;0;Nome Requere;Nome Requere;Nome Requere;Nome Requerente          ;Nome Requerente          ;Nome Requerente          ;                                             ;                                                                                                                                ;x       x       x       x       x       x       x       x       x       x       x       x       x       x       x x     ;USRFULLNAME(M->Z01_REQUE)                                                                                                       ;      ;0;xxxxxx x        ; ; ;U;S;V;V;        ;                                                                                                                                ;                                                                                                                                ;                                                                                                                                ;                                                                                                                                ;                    ;                                                            ;UsrFullName(Z01->Z01_REQUE)                                                     ;   ; ; ;                                                                                                                                                                                                                                                          ;                                                                                                                                                                                                                                                          ; ;N;N;               ;                                                  ;   ; ; ; ;150429;0
Z01;9;Z01_DTINI ;D;8;0;Data Início ;Data Início ;Data Início ;Data Início              ;Data Início              ;Data Início              ;                                             ;                                                                                                                                ;x       x       x       x       x       x       x       x       x       x       x       x       x       x       x x     ;IIF(INCLUI, DDATABASE, '')                                                                                                      ;      ;0;xxxxxx x        ; ; ;U;S;A;R;        ;"U_GA010VLD(""Z01_DTINI"")                                                                                                         ";                                                                                                                                ;                                                                                                                                ;                                                                                                                                ;                    ;                                                            ;                                                                                ;   ; ; ;                                                                                                                                                                                                                                                          ;                                                                                                                                                                                                                                                          ; ;N;N;               ;                                                  ;   ; ; ; ;150422;0
Z01;10;Z01_DTFIM ;D;8;0;Data Fim    ;Data Fim    ;Data Fim    ;Data Fim                 ;Data Fim                 ;Data Fim                 ;                                             ;                                                                                                                                ;x       x       x       x       x       x       x       x       x       x       x       x       x       x       x x     ;                                                                                                                                ;      ;0;xxxxxx x        ; ; ;U;S;A;R;        ;"U_GA010VLD(""Z01_DTFIM"")                                                                                                         ";                                                                                                                                ;                                                                                                                                ;                                                                                                                                ;                    ;                                                            ;                                                                                ;   ; ; ;                                                                                                                                                                                                                                                          ;                                                                                                                                                                                                                                                          ; ;N;N;               ;                                                  ;   ; ; ; ;150423;0
